Date,Condition,ID,Length (mm),Width (mm),Whole weight (g),Wet shell weight (g),Wet meat weight (g),Dry shell weight (g),Dry meat weight (g),Index 1,Index 3,Cavity volume ,Differnece in weight ,Difference in caity volume 
6/25/2025,Biofouled,1,51.97,28.96,8.24,5.74,1.9,5.1,0.35,14,6.862745098,2.5,0.64,0.6
6/25/2025,Biofouled,2,53.69,37.87,13.82,9.99,3.24,9.15,0.48,12.53263708,5.245901639,3.83,0.84,0.59
6/25/2025,Biofouled,3,45.01,26.99,6.94,4.84,1.53,4.25,0.23,10.95238095,5.411764706,2.1,0.59,0.57
6/25/2025,Clean,1,51.14,30.17,11.84,8.05,2.27,7.41,0.45,11.87335092,6.072874494,3.79,0.64,1.52
6/25/2025,Clean,2,45.98,33.62,7.94,5.47,1.28,5.01,0.14,5.668016194,2.794411178,2.47,0.46,1.19
6/25/2025,Clean,3,51.99,33.63,14.31,9.78,4.15,8.78,0.58,12.80353201,6.605922551,4.53,1,0.38
7/2/2025,Clean,1,52.81,37.63,13.28,9.51,3.11,8.8,0.5,13.26259947,5.681818182,3.77,0.71,0.66
7/2/2025,Clean,2,55.23,33.03,10.82,8.06,2.19,7.06,0.29,10.50724638,4.107648725,2.76,1,0.57
7/2/2025,Clean ,3,48.57,28.53,11.16,8.29,2.39,7.65,0.35,12.19512195,4.575163399,2.87,0.64,0.48
7/2/2025,Biofouled,1,55.36,36.83,12.99,8.21,3.05,7.27,0.51,10.66945607,7.015130674,4.78,0.94,1.73
7/2/2025,Biofouled,2,52.9,36.35,10.71,7.09,2.5,6.54,0.42,11.60220994,6.422018349,3.62,0.55,1.12
7/2/2025,Biofouled,3,49.32,31.91,7.37,5.38,1.45,4.8,0.18,9.045226131,3.75,1.99,0.58,0.54
7/10/2025,Clean,1,56.63,30.82,12.4,8.02,3.7,7.33,0.54,12.32876712,7.366984993,4.38,0.69,0.68
7/10/2025,Clean,2,46.45,30.74,11.63,8.13,2.62,7.43,0.43,12.28571429,5.787348587,3.5,0.7,0.88
7/10/2025,Clean,3,52.06,34.27,10.72,7,2.95,6.37,0.47,12.6344086,7.37833595,3.72,0.63,0.77
7/10/2025,Biofouled,1,56.23,33.76,14.87,9.43,3.55,8.76,0.59,10.84558824,6.735159817,5.44,0.67,1.89
7/10/2025,Biofouled,2,56.37,34.82,11.73,8.14,2.87,7.34,0.41,11.42061281,5.585831063,3.59,0.8,0.72
7/10/2025,Biofouled,3,52.68,37.05,13.5,9.85,3.11,8.73,0.41,11.23287671,4.696449026,3.65,1.12,0.54
7/16/2025,Clean,1,60,40.12,15.57,10.68,3.54,10.06,0.65,13.29243354,6.461232604,4.89,0.62,1.35
7/16/2025,Clean,2,52.76,31.67,12.67,8.38,3.03,7.18,0.46,10.72261072,6.406685237,4.29,1.2,1.26
7/16/2025,Clean,3,49.34,35.63,14.29,10.01,2.82,9.36,0.52,12.14953271,5.555555556,4.28,0.65,1.46
7/16/2025,Biofouled,1,55.14,30.64,11.68,7.99,2.85,7.36,0.5,13.5501355,6.793478261,3.69,0.63,0.84
7/16/2025,Biofouled,2,53.63,32.74,11.51,8.61,2.15,8.09,0.35,12.06896552,4.326328801,2.9,0.52,0.75
7/16/2025,Biofouled,3,55.19,32.42,10.54,7.3,2.57,6.74,0.36,11.11111111,5.341246291,3.24,0.56,0.67
