Date ,Condition,Bag ,Number,Color Tag,Length,Width,Barnacles present ,,
6/19/2025,Clean,1,1,pink,49.5,37.2,no,,2 is the active bags 
6/19/2025,Clean,1,2,green,50.2,32.1,no,,
6/19/2025,Clean,1,3,orange,53.1,30.9,no,,
6/19/2025,Clean,1,4,blue,51.9,36.1,no,,
6/19/2025,Clean,1,5,yellow,49.5,31.5,no,,
6/19/2025,Clean,2,6,pink,49.3,31.1,no,,
6/19/2025,Clean,2,7,green ,53,30.5,no,,
6/19/2025,Clean,2,8,orange,50.2,29.5,no,,
6/19/2025,Clean,2,9,blue,53.5,34.1,no,,
6/19/2025,Clean,2,10,yellow,51.3,31.1,no,,
6/19/2025,Biofouled,1,1,pink ,50,30.4,no,,
6/19/2025,Biofouled,1,2,green,50.2,29.8,no,,
6/19/2025,Biofouled,1,3,orange,55.1,37.2,no,,
6/19/2025,Biofouled,1,4,blue ,49.5,35,no,,
6/19/2025,Biofouled,1,5,yellow,50.6,30.8,no,,
6/19/2025,Biofouled,2,6,pink ,51.3,30.2,no,,
6/19/2025,Biofouled,2,7,green ,51.2,20,no,,
6/19/2025,Biofouled,2,8,orange,49.1,31.9,no,,
6/19/2025,Biofouled,2,9,blue,50.5,30.1,no,,
6/19/2025,Biofouled,2,10,yellow,50.3,30.2,no,,
6/25/2025,Clean,1,1,pink,52.5,31.74,no,,
6/25/2025,Clean,1,2,green,49.08,34.41,no,,
6/25/2025,Clean,1,3,orange,53.85,29.97,no,,
6/25/2025,Clean,1,4,blue,49.26,34.61,no,,
6/25/2025,Clean,1,5,yellow,50.15,31.68,no,,
6/25/2025,Clean,2,6,pink,46.75,30.21,no,,
6/25/2025,Clean,2,7,green ,52.39,28.73,no,,
6/25/2025,Clean,2,8,orange,46.7,27.5,no,,
6/25/2025,Clean,2,9,blue,52.18,32.31,no,,
6/25/2025,Clean,2,10,yellow,48.72,30.74,no,,
6/25/2025,Biofouled,1,1,pink ,48.5,29.46,no,,
6/25/2025,Biofouled,1,2,green,50.94,26.63,no,,
6/25/2025,Biofouled,1,3,orange,54.54,37.8,no,Mussle growth ,
6/25/2025,Biofouled,1,4,blue ,47.16,33.44,no,,
6/25/2025,Biofouled,1,5,yellow,48.17,30.29,no,,
6/25/2025,Biofouled,2,6,pink ,50.71,28.37,no,,
6/25/2025,Biofouled,2,7,green ,49.07,28.21,no,,
6/25/2025,Biofouled,2,8,orange,45.6,29.75,no,,
6/25/2025,Biofouled,2,9,blue,50.14,27.85,no,,
6/25/2025,Biofouled,2,10,yellow,51.5,34.5,no,,
7/2/2025,Clean,1,1,pink,51.88,31.26,no,,
7/2/2025,Clean,1,2,green,50.98,36.54,no,,
7/2/2025,Clean,1,3,orange,55.09,30.51,no,,
7/2/2025,Clean,1,4,blue,50.49,36.55,no,,
7/2/2025,Clean,1,5,yellow,50.37,34.1,no,,
7/2/2025,Clean,2,6,pink,56.64,36.66,no,,
7/2/2025,Clean,2,7,green ,52.6,28.53,no,,
7/2/2025,Clean,2,8,orange,46.21,27.32,no,,
7/2/2025,Clean,2,9,blue,54.36,32.1,no,,
7/2/2025,Clean,2,10,yellow,52.43,35.45,no,,
7/2/2025,Biofouled,1,1,pink ,48.81,29.49,no,,
7/2/2025,Biofouled,1,2,green,52.69,30.89,no,,
7/2/2025,Biofouled,1,3,orange,54.63,39.21,no,,
7/2/2025,Biofouled,1,4,blue ,47.96,33.15,no,,
7/2/2025,Biofouled,1,5,yellow,48.6,32.46,no,,
7/2/2025,Biofouled,2,6,pink ,52.68,29.11,no,,
7/2/2025,Biofouled,2,7,green ,53.74,31.62,no,,
7/2/2025,Biofouled,2,8,orange,47.39,31.1,no,,
7/2/2025,Biofouled,2,9,blue,52.71,28.06,no,,
7/2/2025,Biofouled,2,10,yellow,53.38,35.49,no,,
7/10/2025,Clean,1,1,pink,52,31,no,,
7/10/2025,Clean,1,2,green,53,40.5,no,,
7/10/2025,Clean,1,3,orange,59,33,no,,
7/10/2025,Clean,1,4,blue,53,40,no,,
7/10/2025,Clean,1,5,yellow,54,37,no,,
7/10/2025,Clean,2,6,pink,50,37.5,no,,
7/10/2025,Clean,2,7,green ,53,28,no,,
7/10/2025,Clean,2,8,orange,dead,Dead,no,,
7/10/2025,Clean,2,9,blue,54.5,32.5,no,,
7/10/2025,Clean,2,10,yellow,54.5,34,no,,
7/10/2025,Biofouled,1,1,pink ,52.5,31,no,,
7/10/2025,Biofouled,1,2,green,53,31.2,no,,
7/10/2025,Biofouled,1,3,orange,55.5,42.5,no,Mussle growth ,
7/10/2025,Biofouled,1,4,blue ,56.5,33.5,no,,
7/10/2025,Biofouled,1,5,yellow,52.5,36,no,,
7/10/2025,Biofouled,2,6,pink ,49.58,29.23,no,,
7/10/2025,Biofouled,2,7,green ,54.5,32.46,yes,,
7/10/2025,Biofouled,2,8,orange,50,36.2,no,,
7/10/2025,Biofouled,2,9,blue,54.5,27,no,,
7/10/2025,Biofouled,2,10,yellow,56.5,47,no,,
7/16/2025,Clean,1,1,pink,52.53,31.26,no,,
7/16/2025,Clean,1,2,green,57.42,35.28,no,,
7/16/2025,Clean,1,3,orange,50.77,39.13,no,,
