date,cdom,currentdir.deg,currentsp.mms,fluor.ugL,nigrate.uM,sal.psu,temp.C,turbid.ntu
5/14/2014 15:00,5.02,,,1.92,-1,28.04,10,1.88
5/14/2014 15:30,7.86,,,3.59,-0.9,28.04,10.04,1.37
5/14/2014 16:00,5.33,,,2.37,0,28.08,10.14,1.71
5/14/2014 16:30,7.75,,,3.75,-0.2,28.09,10.16,1.44
5/14/2014 17:00,5.54,,,2.63,-0.4,28.04,10.1,1.75
5/14/2014 17:30,7.87,,,4.67,-0.2,28.05,10.06,1.39
5/14/2014 18:00,5.78,,,2.57,-0.1,28.08,10.04,1.84
5/14/2014 18:30,7.85,,,3.69,0.3,28.22,10.06,1.62
5/15/2014 19:00,6.38,18.0042,84.119,2.66,0.4,28.29,9.94,1.68
5/15/2014 19:30,7.88,,,4.09,0.4,28.35,9.88,1.38
5/15/2014 20:00,6.49,,,2.16,0.2,28.04,10.12,1.86
5/15/2014 20:30,8.18,,,3.5,0.5,28.02,9.99,1.16
5/15/2014 21:00,6.66,,,2.27,0.7,27.82,9.88,1.64
5/15/2014 21:30,8.48,,,3.7,1.1,27.79,10.02,1.03
5/15/2014 22:00,6.69,,,2.17,1.5,27.8,9.92,1.68
5/15/2014 22:30,8.75,,,3.75,1.2,27.74,9.77,1
5/15/2014 23:00,6.93,,,2.33,1.6,27.53,9.78,1.54
5/15/2014 23:30,9.23,,,3.73,2.1,27.35,9.93,0.86
5/16/2014 00:00,6.96,,,2.28,2.1,27.34,9.93,1.59
5/16/2014 00:30,9.04,,,3.94,2.2,27.47,9.78,0.94
5/16/2014 01:00,6.9,,,2.43,2.1,27.49,9.76,1.52
5/16/2014 01:30,9.27,,,3.81,2.8,27.46,9.82,0.89
5/16/2014 02:00,6.86,,,2.33,2.7,27.52,9.74,1.6
5/16/2014 02:30,9.15,,,3.68,2.7,27.51,9.82,0.91
5/16/2014 03:00,6.85,,,2.22,2.3,27.58,9.81,1.61
5/16/2014 03:30,8.48,,,3.57,2.7,28.05,9.76,1.23
5/16/2014 04:00,6.59,,,2.13,3,28.11,9.78,1.74
5/16/2014 04:30,8.57,,,3.45,3,28.01,9.78,1.13
