oyster_id,weight_wet_whole,weight_wet_meat,total_fibers,total_fragments,total_beads,total_particles,abundance_particles_per_gram_wet_meat,abundance_particles_per_gram_whole
SI_1A,61.946,10.499,2,0,0,2,5.90018097,0.03228618474
DH_1A,42.995,8.003,5,0,0,5,5.372360365,0.1162925922
SI_2B,39.282,11.021,,,,,3.564286362,0
DH_2A,40.318,8.774,3,0,0,3,4.59516754,0.0744084528
SI_3A,62.575,11.398,3,6,0,9,5.489998245,0.1438274071
DH_3A,50.255,12.828,2,4,0,6,3.91760212,0.1193911054
SI_4A,30.771,10.025,4,3,0,7,3.069426434,0.2274869195
DH_4A,42.851,10.025,3,1,0,4,4.274413965,0.09334671303
SI_5A,41.32,11.241,3,1,0,4,3.675829553,0.0968054211
DH_5A,44.927,11.112,1,2,0,3,4.043106551,0.06677499054
SI_6A,55.165,12.213,8,0,0,8,4.516908213,0.145019487
DH_6A,41.124,9.498,1,2,1,4,4.329753632,0.09726680284
SI_7A,48.928,10.369,,,,,4.718680683,0
DH_7A,31.762,6.963,,,,,4.561539566,0
SI_8A,55.977,11.85,,,,,4.723797468,0
DH_8A,34.814,8.535,,,,,4.078968951,0
