"Date","Time (GMT)","Water Temp (°F)","Conductivity (mS/cm)"
"2023/06/01","00:00","52.2","-"
"2023/06/01","00:06","52","-"
"2023/06/01","00:12","52.2","-"
"2023/06/01","00:18","52.3","-"
"2023/06/01","00:24","52.3","-"
"2023/06/01","00:30","52.3","-"
"2023/06/01","00:36","52.3","-"
"2023/06/01","00:42","52.3","-"
"2023/06/01","00:48","52.3","-"
"2023/06/01","00:54","52.2","-"
"2023/06/01","01:00","52","-"
"2023/06/01","01:06","51.8","-"
"2023/06/01","01:12","51.8","-"
"2023/06/01","01:18","51.6","-"
"2023/06/01","01:24","51.6","-"
"2023/06/01","01:30","51.6","-"
"2023/06/01","01:36","51.8","-"
"2023/06/01","01:42","52","-"
"2023/06/01","01:48","52.2","-"
"2023/06/01","01:54","52.2","-"
"2023/06/01","02:00","51.8","-"
"2023/06/01","02:06","51.8","-"
"2023/06/01","02:12","51.8","-"
"2023/06/01","02:18","51.8","-"
"2023/06/01","02:24","51.8","-"
"2023/06/01","02:30","52","-"
"2023/06/01","02:36","52","-"
"2023/06/01","02:42","52","-"
"2023/06/01","02:48","52","-"
"2023/06/01","02:54","51.8","-"
"2023/06/01","03:00","52","-"
"2023/06/01","03:06","52","-"
"2023/06/01","03:12","52","-"
"2023/06/01","03:18","52.2","-"
"2023/06/01","03:24","52.2","-"
"2023/06/01","03:30","52.2","-"
"2023/06/01","03:36","52.2","-"
"2023/06/01","03:42","52.2","-"
"2023/06/01","03:48","52.2","-"
"2023/06/01","03:54","52.3","-"
"2023/06/01","04:00","52.7","-"
"2023/06/01","04:06","52.9","-"
"2023/06/01","04:12","52.9","-"
"2023/06/01","04:18","52.7","-"
"2023/06/01","04:24","52.7","-"
"2023/06/01","04:30","52.7","-"
"2023/06/01","04:36","52.9","-"
"2023/06/01","04:42","53.1","-"
"2023/06/01","04:48","53.1","-"
"2023/06/01","04:54","53.1","-"
"2023/06/01","05:00","53.1","-"
"2023/06/01","05:06","53.2","-"
"2023/06/01","05:12","53.2","-"
"2023/06/01","05:18","53.2","-"
"2023/06/01","05:24","53.2","-"
"2023/06/01","05:30","53.2","-"
"2023/06/01","05:36","53.4","-"
"2023/06/01","05:42","53.4","-"
"2023/06/01","05:48","53.6","-"
"2023/06/01","05:54","53.6","-"
"2023/06/01","06:00","53.8","-"
"2023/06/01","06:06","53.8","-"
"2023/06/01","06:12","53.6","-"
"2023/06/01","06:18","53.6","-"
"2023/06/01","06:24","53.6","-"
"2023/06/01","06:30","54","-"
"2023/06/01","06:36","54.1","-"
"2023/06/01","06:42","54.3","-"
"2023/06/01","06:48","54.3","-"
"2023/06/01","06:54","54.3","-"
"2023/06/01","07:00","54.3","-"
