"Species","ComName","Language","SpecCode","orientation","dist.to.center","filename"
"Myoxocephalus scorpius","shorthorn sculpin","English",1329,"South of center",-11.4288288722652,"Myoxocephalus_scorpius.nc"
"Pungitius pungitius","ninespine stickleback","English",3273,"South of center",-10.4852355918377,"Pungitius_pungitius.nc"
"Cyclopterus lumpus","lumpfish","English",62,"South of center",-6.19200368478488,"Cyclopterus_lumpus.nc"
"Gadus morhua","atlantic cod","English",69,"South of center",-6.02507108058789,"Gadus_morhua.nc"
"Pholis gunnellus","rock gunnel","English",3804,"South of center",-5.87292736862909,"Pholis_gunnellus.nc"
"Clupea harengus","atlantic herring","English",24,"South of center",-4.96588815862967,"Clupea_harengus.nc"
"Pollachius virens","saithe","English",1343,"South of center",-4.28059819544423,"Pollachius_virens.nc"
"Gasterosteus aculeatus","threespine stickleback","English",2420,"South of center",-3.95757099014614,"Gasterosteus_aculeatus.nc"
"Scomber scombrus","atlantic mackerel","English",118,"South of center",-3.52415020884344,"Scomber_scombrus.nc"
"Urophycis tenuis","white hake","English",313,"South of center",-2.92524033986319,"Urophycis_tenuis.nc"
"Microgadus tomcod","atlantic tomcod","English",316,"South of center",-2.70167255579056,"Microgadus_tomcod.nc"
"Apeltes quadracus","fourspine stickleback","English",3269,"South of center",-2.49447749978869,"Apeltes_quadracus.nc"
"Ammodytes americanus","american sand lance","English",3820,"South of center",-2.42302556556116,"Ammodytes_americanus.nc"
"Myoxocephalus octodecemspinosus","longhorn sculpin","English",4120,"South of center",-1.94759644997694,"Myoxocephalus_octodecemspinosus.nc"
"Pseudopleuronectes americanus","winter flounder","English",524,"South of center",-1.72265723293941,"Pseudopleuronectes_americanus.nc"
"Tautogolabrus adspersus","cunner","English",3672,"South of center",-1.58986741871587,"Tautogolabrus_adspersus.nc"
"Alosa pseudoharengus","alewife","English",1583,"South of center",-1.3390222713827,"Alosa_pseudoharengus.nc"
"Myoxocephalus aenaeus","grubby","English",4117,"South of center",-1.22048824201379,"Myoxocephalus_aenaeus.nc"
"Alosa sapidissima","american shad","English",1584,"South of center",-0.993529319726449,"Alosa_sapidissima.nc"
"Menidia menidia","atlantic silverside","English",339,"North of center",0.137148995702134,"Menidia_menidia.nc"
"Urophycis chuss","red hake","English",312,"North of center",0.523118965357114,"Urophycis_chuss.nc"
"Morone saxatilis","striped bass","English",353,"North of center",0.729659319800717,"Morone_saxatilis.nc"
"Anguilla rostrata","american eel","English",296,"North of center",1.14298635754749,"Anguilla_rostrata.nc"
"Fundulus heteroclitus","mummichog","English",3192,"North of center",1.59896424870466,"Fundulus_heteroclitus.nc"
"Syngnathus fuscus","northern pipefish","English",3301,"North of center",2.41603474163146,"Syngnathus_fuscus.nc"
"Urophycis regia","spotted hake","English",1883,"North of center",2.75459937625821,"Urophycis_regia.nc"
"Alosa aestivalis","blueback herring","English",1574,"North of center",3.68110377853269,"Alosa_aestivalis.nc"
"Sphoeroides maculatus","northern puffer","English",1181,"North of center",3.88473853111433,"Sphoeroides_maculatus.nc"
"Acipenser brevirostrum","shortnose sturgeon","English",2590,"North of center",4.78446280535855,"Acipenser_brevirostrum.nc"
"Paralichthys dentatus","summer flounder","English",1338,"North of center",5.10004748339151,"Paralichthys_dentatus.nc"
"Brevoortia tyrannus","atlantic menhaden","English",1592,"North of center",5.187516790388,"Brevoortia_tyrannus.nc"
"Pomatomus saltatrix","bluefish","English",364,"North of center",6.67571089028043,"Pomatomus_saltatrix.nc"
"Caranx hippos","crevalle jack","English",71,"North of center",9.11830075228372,"Caranx_hippos.nc"
"Mugil curema","white mullet","English",1086,"North of center",10.6658230505079,"Mugil_curema.nc"
"Trachinotus falcatus","permit","English",1010,"North of center",11.831410533721,"Trachinotus_falcatus.nc"
