received,well,content,weeklab,plotlab,site_number,date,dilution,sample_name,cq,filtered
1/17/2025,A01,Sample,A,A,21,6/15/2023,a,A21,36.31917487,1000
1/17/2025,B01,Sample,A,A,22,6/15/2023,a,A22,36.73730073,1000
1/17/2025,C01,Sample,A,A,23,6/15/2023,a,A23,38.33462603,1000
1/17/2025,D01,Sample,A,A,24,6/15/2023,a,A24,40.15434649,1000
1/17/2025,E01,Sample,A,A,25,6/15/2023,a,A25,37.03424295,1000
1/17/2025,F01,Sample,A,A,26,6/15/2023,a,A26,37.59356278,1000
1/17/2025,A03,Field Blank,A,A,blank,6/15/2023,,A Blank,39.91188863,1000
1/17/2025,C03,Lab Blank,A,A,blank,6/15/2023,,ABC Ext Blank,36.99338035,
1/17/2025,G03,Pos Ctrl,A,A,control,6/15/2023,,+,18.34857914,
1/17/2025,H03,Neg Ctrl,A,A,control,6/15/2023,,-,41.09067545,
1/17/2025,A02,Sample,B,B,21,6/21/2023,a,B21,35.09551789,1000
1/17/2025,B02,Sample,B,B,22,6/21/2023,a,B22,36.29424022,1000
1/17/2025,C02,Sample,B,B,26,6/21/2023,a,B26,36.77250823,1000
1/17/2025,C03,Lab Blank,B,B,blank,6/21/2023,,ABC Ext Blank,36.99338035,
1/17/2025,G03,Pos Ctrl,B,B,control,6/21/2023,,+,18.34857914,
1/17/2025,H03,Neg Ctrl,B,B,control,6/21/2023,,-,41.09067545,
1/17/2025,D02,Sample,C,C,23,6/27/2023,a,C23,33.14882268,1000
1/17/2025,E02,Sample,C,C,24,6/27/2023,a,C24,35.98504668,1000
1/17/2025,F02,Sample,C,C,25,6/27/2023,a,C25,35.68929031,1000
1/17/2025,C03,Lab Blank,C,C,blank,6/27/2023,,ABC Ext Blank,36.99338035,
1/17/2025,B03,Field Blank,C,C,blank,6/27/2023,,C Blank,39.51204691,1000
1/17/2025,G03,Pos Ctrl,C,C,control,6/27/2023,,+,18.34857914,
1/17/2025,H03,Neg Ctrl,C,C,control,6/27/2023,,-,41.09067545,
1/15/2025,A01,Sample,D,D,21,7/5/2023,a,D21,36.19774755,1000
1/15/2025,A02,Sample,D,D,21,7/5/2023,b,D21 1:100,36.62965322,1000
1/15/2025,B01,Sample,D,D,22,7/5/2023,a,D22,33.82338302,1000
1/15/2025,B02,Sample,D,D,22,7/5/2023,b,D22 1:100,36.21363022,1000
1/15/2025,C01,Sample,D,D,23,7/5/2023,a,D23,32.74998526,1000
1/15/2025,C02,Sample,D,D,23,7/5/2023,b,D23 1:100,35.30798465,1000
1/15/2025,D01,Sample,D,D,25,7/5/2023,a,D25,33.08999347,1000
1/15/2025,D02,Sample,D,D,25,7/5/2023,b,D25 1:100,35.46521993,1000
1/15/2025,E01,Sample,D,D,26,7/5/2023,a,D26,34.80241827,1000
1/15/2025,E02,Sample,D,D,26,7/5/2023,b,D26 1:100,38.04082013,1000
1/15/2025,A03,Field Blank,D,D,blank,7/5/2023,,D Blank,40.28245761,1000
1/15/2025,B03,Lab Blank,D,D,blank,7/5/2023,,D Ext Blank,39.01874099,
1/15/2025,C03,Pos Ctrl,D,D,control,7/5/2023,,D Pos Ctrl,17.05346614,
1/15/2025,D03,Neg Ctrl,D,D,control,7/5/2023,,D Neg Ctrl,37.10208373,
1/24/2025,C05,Sample,E,E,23,7/12/2023,a,E23,34.74934718,1000
1/24/2025,D05,Sample,E,E,24,7/12/2023,a,E24,40.13637697,1000
1/24/2025,E05,Sample,E,E,25,7/12/2023,a,E25,37.85083975,1000
1/24/2025,F05,Sample,E,E,26,7/12/2023,a,E26,36.18096253,1000
1/24/2025,F11,Lab Blank,E,E,blank,7/12/2023,,Ext Bl 12/16,41.77123878,
1/24/2025,G11,Lab Blank,E,E,blank,7/12/2023,,Ext Bl 12/17,41.7483477,
1/24/2025,H11,Lab Blank,E,E,blank,7/12/2023,,Ext Bl 12/18,43.710325,
1/24/2025,G12,Pos Ctrl,E,E,control,7/12/2023,,+,20.4503729,
1/24/2025,H12,Neg Ctrl,E,E,control,7/12/2023,,-,42.1202419,
1/24/2025,A05,Sample,E,F,21,7/13/2023,a,E21,35.26479461,1000
1/24/2025,B05,Sample,E,F,22,7/13/2023,a,E22,37.35419061,1000
1/24/2025,F11,Lab Blank,E,F,blank,7/13/2023,,Ext Bl 12/16,41.77123878,
1/24/2025,G11,Lab Blank,E,F,blank,7/13/2023,,Ext Bl 12/17,41.7483477,
1/24/2025,H11,Lab Blank,E,F,blank,7/13/2023,,Ext Bl 12/18,43.710325,
1/24/2025,G12,Pos Ctrl,E,F,control,7/13/2023,,+,20.4503729,
1/24/2025,H12,Neg Ctrl,E,F,control,7/13/2023,,-,42.1202419,
1/24/2025,A06,Sample,F,G,21,7/20/2023,a,F21,36.53673273,1000
1/24/2025,B06,Sample,F,G,22,7/20/2023,a,F22,36.23152076,1000
1/24/2025,C06,Sample,F,G,23,7/20/2023,a,F23,35.81700879,1000
1/24/2025,D06,Sample,F,G,25,7/20/2023,a,F25,35.24593062,1000
1/24/2025,E06,Sample,F,G,26,7/20/2023,a,F26,36.32063676,1000
1/24/2025,A11,Field Blank,F,G,blank,7/20/2023,,F Blank,38.38476516,1000
1/24/2025,F11,Lab Blank,F,G,blank,7/20/2023,,Ext Bl 12/16,41.77123878,
1/24/2025,G11,Lab Blank,F,G,blank,7/20/2023,,Ext Bl 12/17,41.7483477,
1/24/2025,H11,Lab Blank,F,G,blank,7/20/2023,,Ext Bl 12/18,43.710325,
1/24/2025,G12,Pos Ctrl,F,G,control,7/20/2023,,+,20.4503729,
1/24/2025,H12,Neg Ctrl,F,G,control,7/20/2023,,-,42.1202419,
1/24/2025,A07,Sample,G,H,21,8/2/2023,a,G21,37.9256907,1000
1/24/2025,B07,Sample,G,H,22,8/2/2023,a,G22,37.08574765,1000
1/24/2025,C07,Sample,G,H,23,8/2/2023,a,G23,35.30022765,1000
1/24/2025,D07,Sample,G,H,24,8/2/2023,a,G24,36.08550496,1000
1/24/2025,E07,Sample,G,H,25,8/2/2023,a,G25,38.48604274,1000
1/24/2025,F07,Sample,G,H,26,8/2/2023,a,G26,38.4759047,1000
1/24/2025,B11,Field Blank,G,H,blank,8/2/2023,,G Blank,42.11416705,1000
1/24/2025,F11,Lab Blank,G,H,blank,8/2/2023,,Ext Bl 12/16,41.77123878,
1/24/2025,G11,Lab Blank,G,H,blank,8/2/2023,,Ext Bl 12/17,41.7483477,
1/24/2025,H11,Lab Blank,G,H,blank,8/2/2023,,Ext Bl 12/18,43.710325,
1/24/2025,G12,Pos Ctrl,G,H,control,8/2/2023,,+,20.4503729,
1/24/2025,H12,Neg Ctrl,G,H,control,8/2/2023,,-,42.1202419,
1/24/2025,A08,Sample,H,I,21,8/9/2023,a,H21,34.70689914,900
1/24/2025,B08,Sample,H,I,22,8/9/2023,a,H22,36.40931347,1000
1/24/2025,F11,Lab Blank,H,I,blank,8/9/2023,,Ext Bl 12/16,41.77123878,
1/24/2025,G11,Lab Blank,H,I,blank,8/9/2023,,Ext Bl 12/17,41.7483477,
1/24/2025,H11,Lab Blank,H,I,blank,8/9/2023,,Ext Bl 12/18,43.710325,
1/24/2025,G12,Pos Ctrl,H,I,control,8/9/2023,,+,20.4503729,
1/24/2025,H12,Neg Ctrl,H,I,control,8/9/2023,,-,42.1202419,
1/24/2025,C08,Sample,H,J,23,8/10/2023,a,H23,37.06519122,1000
1/24/2025,D08,Sample,H,J,24,8/10/2023,a,H24,37.32557867,1000
1/24/2025,E08,Sample,H,J,25,8/10/2023,a,H25,37.87604654,1000
1/24/2025,F08,Sample,H,J,26,8/10/2023,a,H26,36.27736934,1000
1/24/2025,C11,Field Blank,H,J,blank,8/10/2023,,H Blank,39.34322199,1000
1/24/2025,F11,Lab Blank,H,J,blank,8/10/2023,,Ext Bl 12/16,41.77123878,
1/24/2025,G11,Lab Blank,H,J,blank,8/10/2023,,Ext Bl 12/17,41.7483477,
1/24/2025,H11,Lab Blank,H,J,blank,8/10/2023,,Ext Bl 12/18,43.710325,
1/24/2025,G12,Pos Ctrl,H,J,control,8/10/2023,,+,20.4503729,
