Collector,Year,Week,Date,Site name,In/ Mid/ Out,Site number,Label,Extracted,Notes
QBC,2023,A,6/15/2023,Orrs Cove,Inner,21,A-21-I,,Discarded 200mL without filtering
QBC,2023,A,6/15/2023,Orrs Cove,Middle,21,A-21-M,Y,
QBC,2023,A,6/15/2023,Orrs Cove,Outer,21,A-21-O,,
QBC,2023,A,6/15/2023,Snow Island,Inner,22,A-22-I,,
QBC,2023,A,6/15/2023,Snow Island,Middle,22,A-22-M,Y,
QBC,2023,A,6/15/2023,Snow Island,Outer,22,A-22-O,,
QBC,2023,A,6/15/2023,Lowell Cove,Inner,23,A-23-I,,
QBC,2023,A,6/15/2023,Lowell Cove,Middle,23,A-23-M,Y,
QBC,2023,A,6/15/2023,Lowell Cove,Outer,23,A-23-O,,
QBC,2023,A,6/15/2023,Cedar Beach,Inner,24,A-24-I,,
QBC,2023,A,6/15/2023,Cedar Beach,Middle,24,A-24-M,Y,
QBC,2023,A,6/15/2023,Cedar Beach,Outer,24,A-24-O,,
QBC,2023,A,6/15/2023,Garrison Cove,Inner,25,A-25-I,,
QBC,2023,A,6/15/2023,Garrison Cove,Middle,25,A-25-M,Y,
QBC,2023,A,6/15/2023,Garrison Cove,Outer,25,A-25-O,,
QBC,2023,A,6/15/2023,Long Point Cove,Inner,26,A-26-I,,
QBC,2023,A,6/15/2023,Long Point Cove,Middle,26,A-26-M,Y,
QBC,2023,A,6/15/2023,Long Point Cove,Outer,26,A-26-O,,
QBC,2023,A,6/15/2023,Blank,Blank,Blank,A-QBLANK,Y,
QBC,2023,B,6/21/2023,Orrs Cove,Inner,21,B-21-I,,
QBC,2023,B,6/21/2023,Orrs Cove,Middle,21,B-21-M,Y,
QBC,2023,B,6/21/2023,Orrs Cove,Outer,21,B-21-O,,
QBC,2023,B,6/21/2023,Snow Island,Inner,22,B-22-I,,
QBC,2023,B,6/21/2023,Snow Island,Middle,22,B-23-M,Y,
QBC,2023,B,6/21/2023,Snow Island,Outer,22,B-23-O,,
QBC,2023,B,6/21/2023,Long Point Cove,Inner,26,B-26-I,,
QBC,2023,B,6/21/2023,Long Point Cove,Middle,26,B-26-M,Y,
QBC,2023,B,6/21/2023,Long Point Cove,Outer,26,B-26-O,,
QBC,2023,C,6/27/2023,Lowell Cove,Inner,23,C-23-I,,Failed set
QBC,2023,C,6/27/2023,Lowell Cove,Middle,23,C-23-M,Y,
QBC,2023,C,6/27/2023,Lowell Cove,Outer,23,C-23-O,,
QBC,2023,C,6/27/2023,Cedar Beach,Inner,24,C-24-I,,
QBC,2023,C,6/27/2023,Cedar Beach,Middle,24,C-24-M,Y,
QBC,2023,C,6/27/2023,Cedar Beach,Outer,24,C-24-O,,
QBC,2023,C,6/27/2023,Garrison Cove,Inner,25,C-25-I,,Failed set
QBC,2023,C,6/27/2023,Garrison Cove,Middle,25,C-25-M,Y,
QBC,2023,C,6/27/2023,Garrison Cove,Outer,25,C-25-O,,
QBC,2023,C,6/27/2023,Lowell Cove,Inner,23,C-23-I,,Taken again because seine was reset after 30 minutes
QBC,2023,C,6/27/2023,Lowell Cove,Middle,23,C-23-M,Y,
QBC,2023,C,6/27/2023,Lowell Cove,Outer,23,C-23-O,,
QBC,2023,C,6/27/2023,Blank,Blank,Blank,C-QBLANK,Y,
QBC,2023,D,7/5/2023,Orrs Cove,Inner,21,D-21-I,,All 7/5/2023 samples filtered next day
QBC,2023,D,7/5/2023,Orrs Cove,Middle,21,D-21-M,Y,
QBC,2023,D,7/5/2023,Orrs Cove,Outer,21,D-21-O,,
QBC,2023,D,7/5/2023,Snow Island,Inner,22,D-22-I,,
QBC,2023,D,7/5/2023,Snow Island,Middle,22,D-22-M,Y,
