site,fish,count
F8M,Sculpin,1
78M,Sand Lance,100
F11M,Sand Lance,3
F11M,Threespine stickleback,1
F11M,Sculpin,3
F10M,Pipefish,13
F10M,Winter flounder,4
F10M,Sculpin,3
F10M,atlantic tomcod,1
F12M,Sand Lance,3
F7M,Atlantic silverside,40
F7M,Alewife,2
F7M,Winter flounder,2
F7M,Mummichog,1
G4M,Alewife,2500
G4M,Winter flounder,2
G3M,Atlantic silverside,3
G3M,Alewife,38
G2M,Alewife,13
G2M,Atlantic silverside,1
G1M,Alewife,2
G9M,Atlantic silverside,7
G9M,Mummichog,1
H11M,Grubby Sculpin,1
H10M,Pipefish,2
H10M,Ninespine Stickleback,2
H10M,Sculpin,1
H8M,Winter flounder,1
H6M,Pipefish,3
H6M,Sculpin,1
H2M,Alewife,75
H2M,Mummichog,13
H1M,American eel,1
H3M,Atlantic silverside,29
H3M,Alewife,17
H12M,Sand Lance,12
I5M,Ninespine Stickleback,35
I5M,Winter flounder,2
I5M,Pipefish,3
I5M,Atlantic silverside,131
I5M,Grubby Sculpin,3
I5M,Mummichog,1
I7M,Atlantic silverside,699
I7M,Alewife,122
I7M,Ninespine Stickleback,130
I7M,Winter flounder,1
I7M,Sculpin,2
I7M,Mummichog,99
I7M,Rock gunnel,2
I7M,Killifish,1
I4M,white mullet,161
I4M,Atlantic silverside,159
I4M,atlantic tomcod,1
I4M,Mummichog,16
I9M,alewife,2
I9M,Atlantic silverside,18
I9M,Mummichog,1
