Site,Date,Site_name,habitat
F10M,7/11/2023,SMCC ,Eel grass
F11M,7/11/2023,Cushing Island,Sand
F12M,7/14/2023,Alewife Cove,gravel
F5M,7/14/2023,Mackworth North,Rocky
F6M,7/14/2023,Brothers,Pebbles/beach
F7M,7/14/2023,Mussel Cove,mud flat
F8M,7/11/2023,Great Diamond Island,Sand
G1M,7/19/2023,Presumpscot Mooring,Cobblestone
G2M,7/19/2023,Skitterygusset,mud flat
G3M,7/19/2023,Audubon,mud flat
G4M,7/19/2023,Mackworth Beach,Sand
G9M,7/19/2023,Back Cove,Eel grass
H10M,7/24/2023,SMCC ,Eel grass
H11M,7/24/2023,Cushing Island,Sand
H12M,7/26/2023,Alewife Cove,gravel
H1M,7/26/2023,Presumpscot Mooring,Cobblestone
H2M,7/26/2023,Skitterygusset,mud flat
H3M,7/26/2023,Audubon,mud flat
H6M,7/24/2023,Brothers,Pebbles/beach
H8M,7/24/2023,Great Diamond Island,Sand
I4M,8/7/2023,Mackworth Beach,Rocky
I5M,8/7/2023,Mackworth North,Sand
I7M,8/7/2023,Mussel Cove,mud flat
I9M,8/7/2023,Back Cove,Eel grass
