Genus,species,Common,Salinity,Range,Confidence,SUM_Samples,NUM_samples,F10M,F11M,F12M,F5M,F6M,F7M,F8M,G1M,G2M,G3M,G4M,G9M,H11M,H12M,H2M,H3M,H6M,H8M,I4M,I5M,I7M,I9M
Acipenser,brevirostrum,shortnose sturgeon,marine,native,100,2804,4,0,0,0,0,0,0,0,0,282,46,1437,0,0,0,1035,0,0,0,0,0,0,0
Acipenser,brevirostrum,shortnose sturgeon,marine,native,100,2394,4,0,0,0,0,0,0,0,0,226,55,1232,0,0,0,877,0,0,0,0,0,0,0
Alosa,aestivalis,blueback  herring,marine,native,100,5622,5,34,0,0,605,0,0,0,0,0,0,644,0,0,0,0,0,1815,0,0,0,2519,0
Alosa,aestivalis,blueback  herring,marine,native,100,6127,5,51,0,0,696,0,0,0,0,0,0,802,0,0,0,0,0,1860,0,0,0,2713,0
Alosa,alosa,allis shad,marine,European,99.459,180,1,0,0,0,0,0,0,0,0,0,179,0,0,0,0,0,0,0,0,0,0,0,0
Alosa,alosa,allis shad,marine,European,100,60060,13,16040,1644,0,5323,4915,0,381,2396,2556,6445,12696,0,0,0,2770,1226,0,0,1416,0,2239,0
Alosa,alosa,allis shad,marine,European,100,65802,13,17553,1742,0,5962,5339,0,456,2649,2864,6681,14063,0,0,0,3162,1324,0,0,1632,0,2362,0
Alosa,alosa,allis shad,marine,European,99.451,50,1,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alosa,alosa,allis shad,marine,European,99.459,88,1,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alosa,alosa,allis shad,marine,European,99.451,222,1,0,0,0,0,0,0,0,0,0,221,0,0,0,0,0,0,0,0,0,0,0,0
Alosa,alosa,allis shad,marine,European,99.451,460,1,0,0,0,0,0,0,0,0,0,459,0,0,0,0,0,0,0,0,0,0,0,0
Alosa,pseudoharengus,alewife,marine,native,100,40300,11,0,0,0,1698,0,0,0,1855,3264,6690,1339,7467,0,0,1221,2086,3661,0,5457,0,0,5551
Alosa,pseudoharengus,alewife,marine,native,100,43438,11,0,0,0,1990,0,0,0,1976,3477,6615,1578,8652,0,0,1512,2218,3924,0,5704,0,0,5781
Alosa,pseudoharengus,alewife,marine,native,100,20,1,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0
Alosa,pseudoharengus,alewife,marine,native,99.459,37,1,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0
Alosa,pseudoharengus,alewife,marine,native,99.459,71,1,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0
Alosa,pseudoharengus,alewife,marine,native,99.451,865,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,864,0,0,0,0,0,0,0
Alosa,sapidissima,american shad,marine,native,99.429,24,1,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0
Ameiurus,nebulosus,brown bullhead,fresh,native,100,121,3,0,0,0,0,0,0,0,75,40,3,0,0,0,0,0,0,0,0,0,0,0,0
Ameiurus,nebulosus,brown bullhead,fresh,native,100,115,2,0,0,0,0,0,0,0,76,37,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammodytes,tobianus,lesser sand-eel,marine,European,99.415,8,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammodytes,tobianus,lesser sand-eel,marine,European,99.438,7870,2,0,0,3831,0,0,0,0,0,0,0,0,0,0,4037,0,0,0,0,0,0,0,0
Ancistrus,temminckii,armored suckermouth catfish,fresh,South America,100,619,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,618,0,0,0,0,0,0
Anguilla,rostrata,american eel,marine,native,100,17738,10,0,0,1744,0,0,0,0,4420,2750,23,1445,1784,0,1503,1326,1314,0,0,0,1419,0,0
Anguilla,rostrata,american eel,marine,native,100,7507,6,0,0,0,0,0,0,0,0,2577,977,0,754,0,465,0,1755,0,0,973,0,0,0
Anguilla,rostrata,american eel,marine,native,99.435,4,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anguilla,rostrata,american eel,marine,native,99.435,57,1,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0
Anguilla,rostrata,american eel,marine,native,99.425,78,1,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anguilla,rostrata,american eel,marine,native,99.425,232,1,0,0,0,0,0,0,0,0,231,0,0,0,0,0,0,0,0,0,0,0,0,0
Apeltes,quadracus,fourspine stickleback,marine,native,100,4770,4,0,0,0,0,0,0,0,2172,673,0,0,0,0,0,1186,735,0,0,0,0,0,0
Apeltes,quadracus,fourspine stickleback,marine,native,99.444,296,1,0,0,0,0,0,0,0,0,295,0,0,0,0,0,0,0,0,0,0,0,0,0
Brevoortia,patronus,atlantic menhaden,marine,native,100,13190,11,266,1892,0,903,4396,0,359,0,294,0,0,0,0,0,520,1766,0,0,353,0,1349,1081
Brevoortia,patronus,atlantic menhaden,marine,native,100,14591,11,235,2174,0,1060,4955,0,424,0,343,0,0,0,0,0,619,1842,0,0,410,0,1372,1146
Brevoortia,patronus,atlantic menhaden,marine,native,100,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Brevoortia,patronus,atlantic menhaden,marine,native,99.459,4223,1,0,0,0,0,0,4222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brevoortia,patronus,atlantic menhaden,marine,native,99.451,4298,1,0,0,0,0,0,4297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Catostomus,commersonii,white sucker,estuarine,native,100,19344,10,0,0,0,816,0,0,493,3612,2180,1420,1507,0,0,0,2186,2578,0,2542,2000,0,0,0
Catostomus,commersonii,white sucker,estuarine,native,99.435,2820,5,0,0,0,0,0,0,0,366,139,573,0,0,0,0,0,942,0,0,795,0,0,0
