Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note,loc_id
F02,SYBR,,Unkn,A21,,30.95903327,30.95903327,0,NaN,NaN,NaN,0,60,,2024_001_21
E02,SYBR,,Unkn,A22,,33.36944394,33.36944394,0,NaN,NaN,NaN,0,60,,2024_001_22
D02,SYBR,,Unkn,A23,,34.11857798,34.11857798,0,NaN,NaN,NaN,0,60,,2024_001_23
C02,SYBR,,Unkn,A25,,36.07592816,36.07592816,0,NaN,NaN,NaN,0,60,,2024_001_25
B02,SYBR,,Unkn,A26,,35.62264123,35.62264123,0,NaN,NaN,NaN,0,60,,2024_001_26
A02,SYBR,,Unkn,A28,,37.69925676,37.69925676,0,NaN,NaN,NaN,0,60,,2024_001_28
G02,SYBR,,Unkn,ABlank,,39.04328278,39.04328278,0,NaN,NaN,NaN,0,60,,2024_001_blank
E01,SYBR,,Unkn,D21,,35.18389726,35.18389726,0,NaN,NaN,NaN,0,60,,2023_q04_21
D01,SYBR,,Unkn,D22,,36.2226733,36.2226733,0,NaN,NaN,NaN,0,60,,2023_q04_22
C01,SYBR,,Unkn,D23,,35.00264439,35.00264439,0,NaN,NaN,NaN,0,60,,2023_q04_23
B01,SYBR,,Unkn,D25,,34.35340903,34.35340903,0,NaN,NaN,NaN,0,60,,2023_q04_25
A01,SYBR,,Unkn,D26,,37.88022365,37.88022365,0,NaN,NaN,NaN,0,60,,2023_q04_26
F01,SYBR,,Unkn,DBlank,,38.61918592,38.61918592,0,NaN,NaN,NaN,0,60,,2023_q04_blank
B03,SYBR,,Neg Ctrl,Neg Control,,39.59454365,39.59454365,0,NaN,NaN,NaN,0,60,,negctl
A03,SYBR,,Pos Ctrl,Pos Control,,18.59451907,18.59451907,0,NaN,NaN,NaN,0,60,,posctl
